,Name,Colour Code,RGB,sales,sales_fill,int_sale,Prise
0,White,#FFFFFF,"rgb(100,100,100)",12.0,12.0,12,60
1,Silver,#C0C0C0,"rgb(75,75,75)",22.0,22.0,22,110
2,Gray,#808080,"rgb(50,50,50)",34.0,34.0,34,170
3,Black,#000000,"rgb(0,0,0)",,36.266666666666666,36,180
4,Red,#FF0000,"rgb(100,0,0)",45.0,45.0,45,225
5,Maroon,#800000,"rgb(50,0,0)",56.0,56.0,56,280
6,,#FFFF00,"rgb(100,100,0)",75.0,75.0,75,375
7,Olive,#808000,"rgb(50,50,0)",35.0,35.0,35,175
8,Lime,,"rgb(0,100,0)",25.0,25.0,25,125
9,Green,#008000,"rgb(0,50,0)",53.0,53.0,53,265
10,Aqua,#00FFFF,"rgb(0,100,100)",10.0,10.0,10,50
11,Teal,#008080,"rgb(0,50,50)",29.0,29.0,29,145
12,Blue,#0000FF,,27.0,27.0,27,135
13,,#000080,"rgb(0,0,50)",33.0,33.0,33,165
14,Fuchsia,#FF00FF,"rgb(100,0,100)",62.0,62.0,62,310
15,Purple,,"rgb(50,0,50)",26.0,26.0,26,130
